Marital,Mode,Order,Course,Attendance,Qualification,Nationality,Mother-Q,Father-Q,Mother-O,Father-O,Displaced,Need,Debtor,Fee,Gender,Scholarship,Age,1st,2nd,Unemployment,Inflation,GDP,Target,,,,,,
1.00 ,8.00 ,1.00 ,17.00 ,1.00 ,1.00 ,10.00 ,15.00 ,16.00 ,18.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,23.00 ,5.00 ,5.00 ,7.83 ,0.48 ,2.64 ,1.00 ,,,,,,
1.00 ,6.00 ,3.00 ,17.00 ,1.00 ,1.00 ,10.00 ,1.00 ,1.00 ,10.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,6.00 ,6.00 ,12.15 ,2.99 ,2.57 ,0.00 ,,,,,,
1.00 ,7.00 ,1.00 ,17.00 ,1.00 ,1.00 ,5.00 ,4.00 ,3.00 ,4.00 ,4.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,21.00 ,2.00 ,6.00 ,10.64 ,1.35 ,3.51 ,0.00 ,,,,,,
1.00 ,1.00 ,3.00 ,17.00 ,1.00 ,1.00 ,10.00 ,17.00 ,2.00 ,10.00 ,10.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.00 ,18.00 ,7.00 ,6.00 ,9.54 ,1.50 ,-2.83 ,1.00 ,,,,,,
1.00 ,14.00 ,1.00 ,11.00 ,1.00 ,1.00 ,13.00 ,12.00 ,26.00 ,9.00 ,10.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,30.00 ,0.00 ,0.00 ,12.94 ,2.18 ,-0.11 ,0.00 ,,,,,,
1.00 ,1.00 ,2.00 ,7.00 ,1.00 ,1.00 ,17.00 ,3.00 ,16.00 ,9.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,18.00 ,0.00 ,1.00 ,10.06 ,1.27 ,0.92 ,0.00 ,,,,,,
1.00 ,5.00 ,1.00 ,17.00 ,1.00 ,1.00 ,12.00 ,23.00 ,27.00 ,9.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,23.00 ,6.00 ,6.00 ,10.91 ,2.41 ,-4.06 ,1.00 ,,,,,,
1.00 ,3.00 ,3.00 ,8.00 ,1.00 ,1.00 ,13.00 ,1.00 ,3.00 ,4.00 ,4.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,20.00 ,1.00 ,0.00 ,10.98 ,3.13 ,-1.30 ,0.00 ,,,,,,
1.00 ,7.00 ,1.00 ,15.00 ,1.00 ,1.00 ,13.00 ,22.00 ,11.00 ,4.00 ,6.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,22.00 ,5.00 ,4.00 ,9.22 ,2.25 ,-3.15 ,0.00 ,,,,,,
1.00 ,16.00 ,1.00 ,2.00 ,1.00 ,1.00 ,12.00 ,21.00 ,3.00 ,10.00 ,9.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,35.00 ,2.00 ,2.00 ,12.40 ,0.53 ,-4.06 ,0.00 ,,,,,,
1.00 ,1.00 ,1.00 ,9.00 ,1.00 ,1.00 ,17.00 ,23.00 ,13.00 ,10.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,21.00 ,5.00 ,5.00 ,12.86 ,0.19 ,0.53 ,1.00 ,,,,,,
1.00 ,1.00 ,3.00 ,8.00 ,1.00 ,1.00 ,19.00 ,18.00 ,28.00 ,9.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,8.00 ,8.00 ,16.20 ,-0.05 ,-3.18 ,1.00 ,,,,,,
1.00 ,1.00 ,2.00 ,16.00 ,1.00 ,1.00 ,8.00 ,17.00 ,14.00 ,10.00 ,7.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,20.00 ,5.00 ,5.00 ,14.62 ,1.84 ,-1.90 ,1.00 ,,,,,,
1.00 ,17.00 ,1.00 ,16.00 ,0.00 ,1.00 ,14.00 ,19.00 ,24.00 ,9.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,39.00 ,17.00 ,12.00 ,10.71 ,-0.80 ,-1.06 ,1.00 ,,,,,,
1.00 ,13.00 ,1.00 ,14.00 ,1.00 ,13.00 ,3.00 ,3.00 ,1.00 ,4.00 ,6.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,9.00 ,13.72 ,2.86 ,0.19 ,1.00 ,,,,,,
1.00 ,9.00 ,3.00 ,14.00 ,1.00 ,1.00 ,11.00 ,3.00 ,2.00 ,6.00 ,3.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,3.00 ,7.60 ,3.70 ,3.51 ,1.00 ,,,,,,
1.00 ,10.00 ,1.00 ,12.00 ,1.00 ,1.00 ,14.00 ,20.00 ,28.00 ,9.00 ,11.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,33.00 ,2.00 ,0.00 ,12.10 ,0.15 ,-1.13 ,0.00 ,,,,,,
1.00 ,4.00 ,1.00 ,14.00 ,1.00 ,1.00 ,11.00 ,12.00 ,14.00 ,11.00 ,10.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,6.00 ,7.00 ,9.02 ,0.81 ,2.51 ,1.00 ,,,,,,
1.00 ,7.00 ,1.00 ,9.00 ,1.00 ,1.00 ,13.00 ,4.00 ,3.00 ,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,6.00 ,14.13 ,0.50 ,2.65 ,1.00 ,,,,,,
1.00 ,13.00 ,1.00 ,3.00 ,1.00 ,1.00 ,13.00 ,1.00 ,1.00 ,10.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,35.00 ,17.00 ,9.00 ,14.90 ,2.06 ,-3.50 ,1.00 ,,,,,,
1.00 ,14.00 ,2.00 ,10.00 ,1.00 ,1.00 ,13.00 ,20.00 ,2.00 ,10.00 ,10.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,33.00 ,3.00 ,1.00 ,14.77 ,-0.26 ,-4.06 ,0.00 ,,,,,,
1.00 ,12.00 ,1.00 ,17.00 ,1.00 ,1.00 ,17.00 ,24.00 ,28.00 ,10.00 ,10.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,28.00 ,1.00 ,0.00 ,14.10 ,-0.06 ,-0.59 ,0.00 ,,,,,,
1.00 ,14.00 ,1.00 ,14.00 ,1.00 ,1.00 ,14.00 ,1.00 ,2.00 ,5.00 ,9.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,35.00 ,4.00 ,5.00 ,12.12 ,2.73 ,-0.68 ,1.00 ,,,,,,
3.00 ,17.00 ,1.00 ,14.00 ,1.00 ,1.00 ,12.00 ,23.00 ,5.00 ,9.00 ,6.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.00 ,59.00 ,7.00 ,7.00 ,14.80 ,-0.23 ,-2.49 ,1.00 ,,,,,,
1.00 ,7.00 ,1.00 ,15.00 ,1.00 ,1.00 ,13.00 ,13.00 ,1.00 ,3.00 ,10.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,20.00 ,6.00 ,6.00 ,8.85 ,0.94 ,2.77 ,1.00 ,,,,,,
1.00 ,6.00 ,1.00 ,15.00 ,1.00 ,1.00 ,9.00 ,23.00 ,2.00 ,14.00 ,10.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,6.00 ,10.34 ,0.73 ,2.33 ,1.00 ,,,,,,
1.00 ,1.00 ,1.00 ,8.00 ,1.00 ,1.00 ,6.00 ,5.00 ,28.00 ,3.00 ,10.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,19.00 ,1.00 ,0.00 ,10.20 ,0.51 ,0.27 ,0.00 ,,,,,,
1.00 ,6.00 ,1.00 ,2.00 ,1.00 ,1.00 ,13.00 ,5.00 ,3.00 ,2.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,20.00 ,7.00 ,11.00 ,12.33 ,0.76 ,3.10 ,1.00 ,,,,,,
1.00 ,6.00 ,1.00 ,5.00 ,1.00 ,1.00 ,15.00 ,2.00 ,2.00 ,10.00 ,5.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,10.00 ,12.64 ,0.06 ,2.56 ,1.00 ,,,,,,
1.00 ,12.00 ,1.00 ,11.00 ,1.00 ,1.00 ,12.00 ,2.00 ,3.00 ,10.00 ,5.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,21.00 ,6.00 ,5.00 ,13.95 ,3.28 ,-2.02 ,1.00 ,,,,,,
1.00 ,4.00 ,3.00 ,15.00 ,1.00 ,1.00 ,12.00 ,12.00 ,12.00 ,5.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,6.00 ,6.00 ,8.35 ,3.18 ,0.37 ,1.00 ,,,,,,
1.00 ,6.00 ,1.00 ,10.00 ,1.00 ,1.00 ,11.00 ,4.00 ,3.00 ,5.00 ,8.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,19.00 ,5.00 ,7.00 ,11.92 ,1.90 ,2.90 ,1.00 ,,,,,,
3.00 ,15.00 ,1.00 ,17.00 ,0.00 ,1.00 ,13.00 ,20.00 ,12.00 ,10.00 ,7.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,33.00 ,7.00 ,10.00 ,10.51 ,1.53 ,0.31 ,1.00 ,,,,,,
1.00 ,7.00 ,2.00 ,11.00 ,1.00 ,1.00 ,14.00 ,1.00 ,3.00 ,5.00 ,5.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,1.00 ,0.00 ,9.52 ,2.95 ,0.40 ,0.00 ,,,,,,
1.00 ,5.00 ,1.00 ,17.00 ,1.00 ,12.00 ,12.00 ,22.00 ,14.00 ,5.00 ,5.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,24.00 ,6.00 ,5.00 ,10.10 ,0.72 ,3.14 ,1.00 ,,,,,,
1.00 ,12.00 ,1.00 ,14.00 ,1.00 ,1.00 ,15.00 ,21.00 ,26.00 ,10.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,28.00 ,6.00 ,9.00 ,13.57 ,0.67 ,3.51 ,1.00 ,,,,,,
1.00 ,4.00 ,1.00 ,14.00 ,1.00 ,1.00 ,14.00 ,13.00 ,13.00 ,10.00 ,11.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,6.00 ,5.00 ,10.26 ,0.68 ,1.93 ,1.00 ,,,,,,
1.00 ,7.00 ,1.00 ,15.00 ,1.00 ,1.00 ,12.00 ,19.00 ,1.00 ,5.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,2.00 ,1.00 ,7.60 ,2.11 ,-3.24 ,0.00 ,,,,,,
1.00 ,13.00 ,1.00 ,12.00 ,1.00 ,11.00 ,4.00 ,22.00 ,3.00 ,2.00 ,7.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,41.00 ,7.00 ,5.00 ,15.01 ,-0.26 ,-2.43 ,1.00 ,,,,,,
1.00 ,3.00 ,2.00 ,5.00 ,1.00 ,1.00 ,10.00 ,1.00 ,4.00 ,2.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,20.00 ,7.00 ,9.00 ,15.36 ,1.84 ,-1.26 ,1.00 ,,,,,,
1.00 ,4.00 ,2.00 ,16.00 ,1.00 ,1.00 ,5.00 ,17.00 ,28.00 ,9.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,20.00 ,6.00 ,6.00 ,11.17 ,2.62 ,-1.32 ,1.00 ,,,,,,
1.00 ,7.00 ,1.00 ,6.00 ,1.00 ,1.00 ,9.00 ,5.00 ,3.00 ,4.00 ,5.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,5.00 ,7.00 ,12.77 ,1.37 ,3.51 ,1.00 ,,,,,,
1.00 ,15.00 ,1.00 ,3.00 ,1.00 ,1.00 ,13.00 ,4.00 ,2.00 ,9.00 ,3.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,20.00 ,7.00 ,11.00 ,11.35 ,1.02 ,3.12 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,9.00 ,1.00 ,1.00 ,13.00 ,13.00 ,1.00 ,9.00 ,6.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,23.00 ,6.00 ,5.00 ,15.36 ,-0.18 ,2.49 ,1.00 ,,,,,,
1.00 ,1.00 ,3.00 ,14.00 ,1.00 ,1.00 ,7.00 ,10.00 ,2.00 ,5.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,7.00 ,6.00 ,12.75 ,1.22 ,-1.30 ,1.00 ,,,,,,
1.00 ,15.00 ,1.00 ,13.00 ,0.00 ,1.00 ,18.00 ,20.00 ,27.00 ,9.00 ,10.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,27.00 ,15.00 ,9.00 ,12.42 ,-0.80 ,1.62 ,1.00 ,,,,,,
1.00 ,1.00 ,1.00 ,14.00 ,1.00 ,1.00 ,17.00 ,1.00 ,28.00 ,4.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,22.00 ,0.00 ,0.00 ,12.41 ,1.70 ,-4.06 ,0.00 ,,,,,,
1.00 ,5.00 ,1.00 ,6.00 ,1.00 ,1.00 ,10.00 ,12.00 ,15.00 ,10.00 ,9.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,19.00 ,6.00 ,5.00 ,12.47 ,0.53 ,1.97 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,13.00 ,1.00 ,1.00 ,12.00 ,19.00 ,28.00 ,10.00 ,9.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,18.00 ,0.00 ,0.00 ,11.43 ,0.30 ,-0.47 ,0.00 ,,,,,,
1.00 ,3.00 ,1.00 ,11.00 ,1.00 ,12.00 ,7.00 ,2.00 ,4.00 ,4.00 ,6.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,20.00 ,1.00 ,0.00 ,13.50 ,0.41 ,0.70 ,0.00 ,,,,,,
1.00 ,6.00 ,1.00 ,8.00 ,1.00 ,1.00 ,14.00 ,2.00 ,2.00 ,6.00 ,4.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,20.00 ,6.00 ,7.00 ,12.29 ,1.34 ,3.51 ,1.00 ,,,,,,
1.00 ,14.00 ,1.00 ,11.00 ,1.00 ,10.00 ,4.00 ,3.00 ,3.00 ,9.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,26.00 ,7.00 ,9.00 ,12.49 ,2.14 ,-2.46 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,16.00 ,1.00 ,1.00 ,12.00 ,2.00 ,2.00 ,10.00 ,10.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,19.00 ,6.00 ,5.00 ,10.80 ,1.35 ,2.50 ,0.00 ,,,,,,
1.00 ,2.00 ,3.00 ,16.00 ,1.00 ,1.00 ,3.00 ,21.00 ,27.00 ,4.00 ,9.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,20.00 ,3.00 ,0.00 ,10.15 ,0.51 ,1.80 ,0.00 ,,,,,,
1.00 ,3.00 ,1.00 ,11.00 ,1.00 ,1.00 ,9.00 ,2.00 ,3.00 ,4.00 ,7.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,2.00 ,0.00 ,13.73 ,3.47 ,-2.17 ,0.00 ,,,,,,
1.00 ,1.00 ,1.00 ,16.00 ,1.00 ,1.00 ,4.00 ,23.00 ,28.00 ,5.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,6.00 ,5.00 ,10.95 ,2.87 ,-2.81 ,1.00 ,,,,,,
1.00 ,13.00 ,1.00 ,6.00 ,1.00 ,1.00 ,13.00 ,22.00 ,28.00 ,9.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,39.00 ,2.00 ,6.00 ,11.22 ,-0.46 ,0.46 ,1.00 ,,,,,,
1.00 ,6.00 ,1.00 ,16.00 ,1.00 ,1.00 ,2.00 ,1.00 ,3.00 ,3.00 ,5.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,23.00 ,6.00 ,6.00 ,14.95 ,1.65 ,-3.62 ,1.00 ,,,,,,
1.00 ,1.00 ,3.00 ,16.00 ,1.00 ,1.00 ,15.00 ,2.00 ,2.00 ,5.00 ,10.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,20.00 ,3.00 ,5.00 ,11.68 ,1.08 ,1.64 ,0.00 ,,,,,,
1.00 ,2.00 ,2.00 ,14.00 ,0.00 ,1.00 ,10.00 ,20.00 ,2.00 ,10.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,27.00 ,18.00 ,8.00 ,14.59 ,0.82 ,-0.52 ,1.00 ,,,,,,
1.00 ,2.00 ,1.00 ,13.00 ,1.00 ,1.00 ,8.00 ,18.00 ,28.00 ,5.00 ,5.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,39.00 ,7.00 ,6.00 ,15.68 ,2.68 ,-3.73 ,1.00 ,,,,,,
1.00 ,5.00 ,1.00 ,13.00 ,1.00 ,1.00 ,13.00 ,12.00 ,15.00 ,5.00 ,5.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,20.00 ,6.00 ,6.00 ,12.74 ,0.79 ,2.54 ,1.00 ,,,,,,
1.00 ,17.00 ,1.00 ,13.00 ,0.00 ,1.00 ,14.00 ,23.00 ,25.00 ,9.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,34.00 ,3.00 ,6.00 ,9.19 ,-0.80 ,-1.73 ,1.00 ,,,,,,
1.00 ,15.00 ,1.00 ,10.00 ,1.00 ,1.00 ,14.00 ,1.00 ,4.00 ,5.00 ,10.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,18.00 ,0.00 ,0.00 ,8.65 ,3.26 ,1.52 ,0.00 ,,,,,,
1.00 ,5.00 ,1.00 ,12.00 ,1.00 ,1.00 ,11.00 ,1.00 ,2.00 ,4.00 ,4.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,21.00 ,7.00 ,10.00 ,13.26 ,2.62 ,-1.75 ,1.00 ,,,,,,
1.00 ,2.00 ,1.00 ,9.00 ,1.00 ,1.00 ,14.00 ,1.00 ,1.00 ,6.00 ,10.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,20.00 ,0.00 ,0.00 ,8.01 ,2.93 ,-1.33 ,0.00 ,,,,,,
1.00 ,1.00 ,1.00 ,3.00 ,1.00 ,1.00 ,17.00 ,12.00 ,1.00 ,9.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,6.00 ,8.00 ,12.46 ,-0.08 ,3.16 ,1.00 ,,,,,,
1.00 ,5.00 ,2.00 ,10.00 ,1.00 ,1.00 ,13.00 ,13.00 ,3.00 ,9.00 ,10.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,0.00 ,0.00 ,12.03 ,0.86 ,-0.04 ,0.00 ,,,,,,
1.00 ,1.00 ,2.00 ,14.00 ,1.00 ,1.00 ,17.00 ,10.00 ,13.00 ,11.00 ,11.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,18.00 ,7.00 ,7.00 ,7.60 ,1.38 ,3.18 ,1.00 ,,,,,,
1.00 ,1.00 ,2.00 ,8.00 ,1.00 ,1.00 ,17.00 ,2.00 ,2.00 ,3.00 ,4.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,18.00 ,6.00 ,6.00 ,13.01 ,1.32 ,-1.20 ,1.00 ,,,,,,
1.00 ,3.00 ,1.00 ,10.00 ,1.00 ,1.00 ,16.00 ,2.00 ,2.00 ,4.00 ,6.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,19.00 ,0.00 ,0.00 ,9.80 ,1.34 ,3.51 ,0.00 ,,,,,,
1.00 ,14.00 ,2.00 ,5.00 ,1.00 ,1.00 ,16.00 ,1.00 ,28.00 ,2.00 ,11.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,25.00 ,0.00 ,0.00 ,16.20 ,0.12 ,-4.06 ,0.00 ,,,,,,
1.00 ,5.00 ,1.00 ,11.00 ,1.00 ,1.00 ,11.00 ,21.00 ,27.00 ,10.00 ,9.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,24.00 ,7.00 ,7.00 ,8.58 ,1.17 ,1.28 ,1.00 ,,,,,,
3.00 ,16.00 ,1.00 ,17.00 ,0.00 ,1.00 ,17.00 ,21.00 ,27.00 ,9.00 ,7.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,34.00 ,7.00 ,8.00 ,9.19 ,0.80 ,-0.85 ,1.00 ,,,,,,
